old	new
s__Arenibacter sp014397245	s__Arenibacter arenosicollis
s__Aureibaculum sp003449015	s__Aureibaculum luteum
s__Aureibaculum sp006065315	s__Aureibaculum algae
s__BACL21 sp002440705	s__DJVA01 sp002440705
s__BACL21 sp002694465	s__Halomarinibacterium sp002694465
s__BACL21 sp002707025	s__PALG01 sp002707025
g__CAU-1491	g__Pontimicrobium
s__CAU-1491 sp005047595	s__Pontimicrobium aquaticum
s__CAU-1491 sp011777505	s__Pontimicrobium sp011777505
g__CWB-1	g__Paucihalobacter
s__CWB-1 sp006494535	s__Paucihalobacter ruber
s__Capnocytophaga endodontalis	s__Capnocytophaga periodontitidis
s__Capnocytophaga sp000318275	s__Capnocytophaga bilenii
s__Confluentibacter sp003258355	s__Confluentibacter sediminis
s__Eudoraea sp013041785	s__JABDRK01 sp013041785
g__F202Z8	g__Aggregatimonas
s__F202Z8 sp005943945	s__Aggregatimonas sangjinii
s__Flaviramulus sp013001275	s__JABDMV01 sp013001275
g__Flaviramulus_A	g__Wocania
s__Flaviramulus_A ichthyoenteri	s__Wocania ichthyoenteri
s__Flaviramulus_A sp002741945	s__Wocania sp002741945
s__Flaviramulus_A sp009498295	s__Wocania sp009498295
s__Flavivirga sp012910715	s__Flavivirga algicola
s__Flavobacterium anhuiense_B	s__Flavobacterium panacis
s__Flavobacterium chungangense	s__Flavobacterium salmonis
s__Flavobacterium collinsii_A	s__Flavobacterium quisquiliarum
s__Flavobacterium columnare_A	s__Flavobacterium covae
s__Flavobacterium columnare_C	s__Flavobacterium oreochromis
s__Flavobacterium columnare_D	s__Flavobacterium davisii
s__Flavobacterium daejeonense_A	s__Flavobacterium pokkalii
s__Flavobacterium sp000967805	s__Flavobacterium sediminilitoris
s__Flavobacterium sp001898245	s__Flavobacterium inviolabile
s__Flavobacterium sp002210235	s__Flavobacterium panici
s__Flavobacterium sp002714575	s__Flavobacterium coralii
s__Flavobacterium sp003097655	s__Flavobacterium laiguense
s__Flavobacterium sp003202405	s__Flavobacterium hydrophilum
s__Flavobacterium sp003202435	s__Flavobacterium cheongpyeongense
s__Flavobacterium sp003217415	s__Flavobacterium sp900187965
s__Flavobacterium sp003312915	s__Flavobacterium fluviale
s__Flavobacterium sp003946915	s__Flavobacterium ustbae
s__Flavobacterium sp004016525	s__Flavobacterium sufflavum
s__Flavobacterium sp004122105	s__Flavobacterium stagni
s__Flavobacterium sp004122165	s__Flavobacterium amnicola
s__Flavobacterium sp004349195	s__Flavobacterium rhamnosiphilum
s__Flavobacterium sp004349315	s__Flavobacterium ranwuense
s__Flavobacterium sp004634195	s__Flavobacterium salilacus
s__Flavobacterium sp004801375	s__Flavobacterium supellecticarium
s__Flavobacterium sp006491645	s__Flavobacterium profundi
s__Flavobacterium sp007097145	s__Flavobacterium zepuense
s__Flavobacterium sp007097245	s__Flavobacterium restrictum
s__Flavobacterium sp007097285	s__Flavobacterium gawalongense
s__Flavobacterium sp007097365	s__Flavobacterium franklandianum
s__Flavobacterium sp009789235	s__Flavobacterium hydrocarbonoxydans
s__Flavobacterium sp009909155	s__Flavobacterium undicola
s__Flavobacterium sp009915155	s__Flavobacterium ichthyis
s__Flavobacterium sp010119235	s__Flavobacterium phycosphaerae
s__Flavobacterium sp011305415	s__Flavobacterium bernardetii
s__Flavobacterium sp011365745	s__Flavobacterium turcicum
s__Flavobacterium sp011392075	s__Flavobacterium celericrescens
s__Flavobacterium sp011392115	s__Flavobacterium difficile
s__Flavobacterium sp011392125	s__Flavobacterium lotistagni
s__Flavobacterium sp012911565	s__Flavobacterium silvaticum
s__Flavobacterium sp012911605	s__Flavobacterium solisilvae
s__Flavobacterium sp013401995	s__Flavobacterium agri
s__Flavobacterium sp014281985	s__Flavobacterium flabelliforme
s__Flavobacterium sp014305095	s__Flavobacterium kayseriense
s__Flavobacterium sp014305155	s__Flavobacterium muglaense
s__Flavobacterium sp902804475	s__Flavobacterium bizetiae
g__GCA-002723295	g__Marivariicella
s__GCA-002723295 sp002690805	s__Marivariicella sp002690805
s__GCA-002723295 sp002711185	s__Marivariicella sp002711185
s__GCA-002723295 sp002713495	s__Marivariicella sp002713495
s__GCA-002723295 sp002721275	s__Marivariicella sp002721275
s__GCA-002723295 sp002723295	s__Marivariicella sp002723295
s__Galbibacter marinus	s__Galbibacter_B marinus
s__Gelidibacter sp014062315	s__Gelidibacter maritimus
s__Gillisia sp007993795	s__Gillisia arctica
s__Gramella sp009735695	s__Gramella bathymodioli
s__Ichthyenterobacterium sp002162765	s__MAAR01 sp002162765
s__Jejuia sp004310325	s__Jejuia flava
s__Jejuia sp014270105	s__Jejuia aquatilis
s__Joostella sp013391805	s__Galbibacter sp013391805
s__Kordia sp014397005	s__Kordia aestuariivivens
g__MAR-2010-188	g__Aegicerativicinus
s__MAR-2010-188 sp900104375	s__Aegicerativicinus sp900104375
g__MED-G11	g__Marisimplicoccus
s__MED-G11 sp002457075	s__Marisimplicoccus sp002457075
s__MED-G11 sp002729755	s__Marisimplicoccus sp002729755
s__MED-G11 sp004213645	s__Marisimplicoccus sp004213645
s__MED-G11 sp004214015	s__Marisimplicoccus sp004214015
s__MED-G11 sp014239615	s__Marisimplicoccus sp014239615
s__MED-G11 sp014239665	s__Marisimplicoccus framensis
s__MED-G11 sp902509805	s__Marisimplicoccus sp902509805
s__MED-G11 sp902510395	s__Marisimplicoccus sp902509805
s__MED-G11 sp902514615	s__Marisimplicoccus sp902514615
s__MED-G11 sp902516925	s__Marisimplicoccus sp902516925
s__MED-G11 sp902517365	s__Marisimplicoccus sp902517365
s__MED-G11 sp902519955	s__Marisimplicoccus sp902519955
s__MED-G11 sp902523665	s__Marisimplicoccus sp902523665
s__MED-G11 sp902560025	s__Marisimplicoccus sp902560025
s__MED-G11 sp902577515	s__Marisimplicoccus sp902577515
s__MED-G11 sp902583445	s__Marisimplicoccus sp902583445
s__MED-G11 sp902586435	s__Marisimplicoccus sp902586435
s__MED-G11 sp902593165	s__Marisimplicoccus sp902593165
s__MED-G11 sp902594485	s__Marisimplicoccus sp902594485
s__MED-G11 sp902594745	s__Marisimplicoccus sp902594745
s__MED-G11 sp902597925	s__Marisimplicoccus sp902594485
s__MED-G11 sp902598525	s__Marisimplicoccus sp902598525
s__MED-G11 sp902617285	s__Marisimplicoccus sp902617285
s__MED-G11 sp902620455	s__Marisimplicoccus sp902620455
s__MED-G11 sp902622595	s__Marisimplicoccus sp902622595
s__MED-G11 sp902629505	s__Marisimplicoccus sp902629505
s__MED-G14 sp002691165	s__MED-G14 sp902550325
s__MED-G14 sp902616635	s__MED-G14 sp902554655
s__MS024-2A sp000173095	s__MS024-2A sp018646605
s__Maribacter sp001913155	s__Maribacter hydrothermalis
s__Mariniflexile sp002426835	s__Mariniflexile maritimum
s__Marixanthomonas sp003095375	s__Marixanthomonas spongiae
s__Mesoflavibacter sp003008475	s__Mesoflavibacter profundi
s__Mesonia hippocampi	s__Mesonia_A hippocampi
s__Mesonia sp002413625	s__Mesonia oceanica
s__Mesonia sp006546625	s__Mesonia putidus
s__Muricauda pacifica_A	s__Muricauda parva
s__Muricauda sp002452975	s__Muricauda oceanensis
s__Muricauda sp002711825	s__Muricauda aurea
s__Muricauda sp003057865	s__Muricauda chongwuensis
s__Muricauda sp003058265	s__Muricauda amoyensis
s__Muricauda sp003269425	s__Muricauda aurantiaca
s__Muricauda sp003382275	s__Muricauda nanhaiensis
s__Muricauda sp003584135	s__Muricauda maritima
s__Muricauda sp003584165	s__Muricauda aequoris
s__Muricauda sp003973595	s__Muricauda hadalis
s__Muricauda sp004296335	s__Muricauda hymeniacidonis
s__Muricauda sp004804315	s__Muricauda onchidii
s__Muricauda sp008040165	s__Muricauda hymeniacidonis_A
s__Muricauda sp009903685	s__Muricauda ochracea
s__Muricauda sp010500845	s__Muricauda sediminis
s__Muricauda sp011068285	s__Muricauda oceani
s__Muricauda sp013090115	s__Muricauda amphidinii
s__Muriicola sp004139715	s__Muriicola soli
g__Myroides	g__Flavobacterium
s__Myroides dinanensis	s__Flavobacterium dinanensis
s__Myroides guanonis	s__Flavobacterium guanonis
s__Myroides indicus	s__Flavobacterium indicum_A
s__Myroides injenensis	s__Flavobacterium injenense
s__Myroides marinus	s__Flavobacterium marinum_A
s__Myroides marinus_A	s__Flavobacterium marinum
s__Myroides odoratimimus	s__Flavobacterium odoratimimum
s__Myroides odoratus	s__Flavobacterium odoratum
s__Myroides odoratus_A	s__Flavobacterium odoratum_A
s__Myroides pelagicus	s__Flavobacterium pelagicum
s__Myroides phaeus	s__Flavobacterium phaeum
s__Myroides phaeus_A	s__Flavobacterium phaeum_A
s__Myroides profundi	s__Flavobacterium profundi_A
s__Myroides sp002286775	s__Flavobacterium sp002286775
s__Myroides sp002320285	s__Flavobacterium sp002320285
s__Myroides sp002360925	s__Flavobacterium sp002360925
s__Myroides sp004151275	s__Flavobacterium dauae
s__Myroides sp008629655	s__Flavobacterium baculatum
s__Myroides sp009711045	s__Flavobacterium album_A
s__Myroides sp009792295	s__Flavobacterium sp009792295
s__Myroides sp013389595	s__Flavobacterium sp013389595
s__Myroides sp013874595	s__Flavobacterium sp013874595
s__Myroides sp014145635	s__Flavobacterium sp014145635
s__Myroides sp014145665	s__Flavobacterium sp014145665
s__Myroides tangerina	s__Flavobacterium tangerinum
s__Myroides ummariensis	s__Flavobacterium ummariense
s__Myroides viscosus	s__Flavobacterium viscosum
s__Nonlabens sp003966335	s__Nonlabens ponticola
s__Oceanihabitans himadriensis	s__Oceanihabitans himadriense
s__Olleya sp000518525	s__Olleya sediminilitoris
s__PRS1 sp013151975	s__JAADHG01 sp013151975
s__Polaribacter sp003129485	s__Polaribacter aquimarinus
s__Polaribacter sp009832745	s__Polaribacter septentrionalilitoris
s__Polaribacter sp014352875	s__Polaribacter pectinis
g__Pseudobizionia	g__Hanstruepera
s__Pseudobizionia ponticola	s__Hanstruepera ponticola
s__Pseudozobellia sp002813285	s__JADNYK01 sp002813285
s__Psychroflexus sp006120725	s__Psychroflexus halotolerans
s__Psychroflexus sp010820555	s__Psychroflexus aurantiacus
s__Psychroserpens sp014526325	s__Psychroserpens algicola
g__QNYL01	g__Lutimonas
s__QNYL01 sp003973375	s__Lutimonas sp003973375
g__R33	g__Poritiphilus
s__R33 sp009901585	s__Poritiphilus flavus
g__RR4-38	g__Pukyongia
s__RR4-38 sp002966125	s__Pukyongia salina
s__RR4-38 sp008501705	s__Pukyongia sp008501705
s__RR4-38 sp013043685	s__Pukyongia sp013043685
g__RZ26	g__Maribacter_C
s__RZ26 sp003232155	s__Maribacter_C sp003232155
s__RZ26 sp005885635	s__Maribacter_C algarum
g__SZUA-72	g__Aurantibacter_A
s__SZUA-72 sp003232435	s__Aurantibacter_A sp003232435
s__SZUA-72 sp009649685	s__Aurantibacter_A sp009649685
s__Salinimicrobium sp012038135	s__Salinimicrobium nanhaiense
s__Sinomicrobium sp014518365	s__Sinomicrobium weinanense
g__Subsaximicrobium	g__Psychroserpens
s__Subsaximicrobium sp000688335	s__Psychroserpens sp000688335
s__Subsaximicrobium wynnwilliamsii	s__Psychroserpens wynnwilliamsii
g__TP-CH-4	g__Pelagihabitans
s__TP-CH-4 sp009371985	s__Pelagihabitans pacificus
s__Tamlana_A fucoidanivorans	s__Tamlana_C fucoidanivorans
s__Tamlana_A sp002893765	s__Tamlana_A carrageenivorans
s__Tamlana_A sp004804355	s__Tamlana_C onchidii
s__Tamlana_A sp008806375	s__Tamlana_A haliotis
s__Tenacibaculum dicentrarchi_C	s__Tenacibaculum finnmarkense
s__Tenacibaculum litoreum	s__Tenacibaculum singaporense
s__Tenacibaculum sp014062345	s__Tenacibaculum pelagium
s__Tenacibaculum sp900239505	s__Tenacibaculum piscium
g__UBA2674	g__NZQO01
s__UBA2674 sp002693605	s__NZQO01 sp002693605
s__UBA3537 sp001735715	s__GCA001735715 sp001735715
s__UBA3537 sp002721175	s__SP29 sp002721175
g__UBA4166	g__DFVG01
s__UBA4166 sp002379985	s__DFVG01 sp002379985
g__UBA7428	g__Arcticimaribacter
s__UBA7428 sp002477625	s__Arcticimaribacter sp002477625
s__UBA7428 sp002708445	s__Arcticimaribacter sp002708445
s__UBA7428 sp003023645	s__Arcticimaribacter sp003023645
s__UBA7428 sp011526265	s__Arcticimaribacter sp011526265
s__UBA7428 sp011526275	s__Arcticimaribacter sp011526275
s__UBA7428 sp011526285	s__Arcticimaribacter sp011526285
s__UBA7428 sp011526335	s__Arcticimaribacter sp011526335
g__Ulvibacter_B	g__Patiriisocius
s__Ulvibacter_B marinus	s__Patiriisocius marinus
s__Ulvibacter_B sp000170815	s__Patiriisocius sp000170815
s__Ulvibacter_B sp003450155	s__Patiriisocius sp003450155
s__Ulvibacter_B sp009014635	s__Patiriisocius marinistellae
g__VTZT01	g__Pareuzebyella
s__VTZT01 sp008367275	s__Pareuzebyella sediminis
s__Winogradskyella sp009709615	s__Winogradskyella ouciana
s__Winogradskyella sp009741275	s__Winogradskyella endarachnes
s__Winogradskyella sp013394635	s__Winogradskyella forsetii
s__Winogradskyella sp013394655	s__Winogradskyella schleiferi
s__Winogradskyella sp013394675	s__Winogradskyella helgolandensis
s__Winogradskyella sp013403865	s__Winogradskyella costae
s__Winogradskyella sp013403925	s__Winogradskyella wichelsiae
s__Winogradskyella sp013403955	s__Winogradskyella vidalii
s__Winogradskyella sp013403975	s__Winogradskyella ursingii
s__Winogradskyella sp013403985	s__Winogradskyella ludwigii
s__Yeosuana sp011762485	s__Yeosuana marina
g__REDE01	g__CSBr16-58
s__REDE01 sp007693635	s__CSBr16-58 sp007693635
g__UBA7878	g__Croceimicrobium
s__UBA7878 sp002501205	s__Croceimicrobium sp002501205
s__UBA7878 sp003045865	s__Croceimicrobium sp003045865
s__UBA7878 sp014524565	s__Croceimicrobium hydrocarbonivorans
s__UBA974 sp002717605	s__UBA974 sp902578505
f__UBA10066	f__Parvicellaceae
s__GCA-002727735 sp902597025	s__GCA-002727735 sp902536695
s__MED-G20 sp002699745	s__MED-G20 sp016780365
s__MED-G20 sp902599165	s__MED-G20 sp016780365
g__UBA1820	g__Merdimorpha
s__UBA1820 sp002314265	s__Merdimorpha sp002314265
s__UBA1820 sp003150615	s__Merdimorpha sp003150615
s__UBA7312 sp002306655	s__UBA7312 sp002715345
s__UBA7312 sp002471645	s__UBA7312 sp902580855
g__S-15	g__Acidiluteibacter
s__S-15 sp009909615	s__Acidiluteibacter ferrifornacis
s__Bergeyella_A sp002484105	s__JAFAFC01 sp002484105
s__Chryseobacterium bernardetii_A	s__Chryseobacterium bernardetii
s__Chryseobacterium nematophagum_A	s__Chryseobacterium potabilaquae
s__Chryseobacterium nematophagum_B	s__Chryseobacterium fistulae
s__Chryseobacterium sp000799255	s__Chryseobacterium sp001507335
s__Chryseobacterium sp002434285	s__Chryseobacterium nepalense
s__Chryseobacterium sp002899825	s__Chryseobacterium phosphatilyticum
s__Chryseobacterium sp003384725	s__Chryseobacterium pennipullorum
s__Chryseobacterium sp003385515	s__Chryseobacterium pennae
s__Chryseobacterium sp008274625	s__Chryseobacterium panacisoli
s__Chryseobacterium sp009602705	s__Chryseobacterium vaccae
s__Chryseobacterium sp012927265	s__Chryseobacterium cheonjiense
s__Chryseobacterium sp012927325	s__Chryseobacterium antibioticum
s__Chryseobacterium sp902728305	s__Chryseobacterium aquaeductus
s__Chryseobacterium sp903166575	s__Chryseobacterium schmidteae
s__Chryseobacterium timonianum	s__Chryseobacterium capnotolerans
s__Empedobacter sp002378465	s__Empedobacter falsenii
s__Epilithonimonas halperniae	s__Epilithonimonas lactis
s__Epilithonimonas sp001643375	s__Epilithonimonas ginsengisoli
s__Epilithonimonas sp002391865	s__Epilithonimonas vandammei
s__Kaistella frigidisoli	s__Halpernia frigidisoli
s__Kaistella humi	s__Halpernia humi
s__Kaistella sp001403755	s__Kaistella senegalense
s__Kaistella sp002197835	s__Kaistella soli
s__Kaistella sp002426785	s__Kaistella beijingensis
s__Kaistella sp002477665	s__Kaistella salipaludis
s__Kaistella sp003860505	s__Kaistella daneshvariae
s__Kaistella sp004359195	s__Kaistella salivictor
s__Kaistella sp013294015	s__Frigoriflavimonas asaccharolytica
s__Moheibacter sp014042165	s__Moheibacter lacus
s__Planobacterium sp008831505	s__MFBS3-17 sp008831505
s__Planobacterium sp014041915	s__MFBS3-17 sp014041915
g__UBA3376	g__Moheibacter
s__UBA3376 sp002359055	s__Moheibacter sp002359055
g__YIM-102668	g__Faecalibacter
s__YIM-102668 sp003687725	s__Faecalibacter macacae
s__YIM-102668 sp900770875	s__Faecalibacter sp900770875
s__Albibacterium indicus	s__Albibacterium indicum
g__HMF7410	g__Mucilaginibacter_A
s__HMF7410 sp009754915	s__Mucilaginibacter_A arboris
s__HMF7410 sp903642215	s__Mucilaginibacter_A sp903642215
g__JACMJM01	g__Pedobacter_A
s__JACMJM01 sp014380615	s__Pedobacter_A sp014380615
s__Mucilaginibacter sp003432065	s__Mucilaginibacter terrenus
s__Mucilaginibacter sp003432115	s__Mucilaginibacter conchicola
s__Mucilaginibacter sp003576455	s__Mucilaginibacter celer
s__Mucilaginibacter sp004054195	s__Mucilaginibacter gilvus
s__Mucilaginibacter sp007846085	s__Mucilaginibacter pallidiroseus
s__Mucilaginibacter sp007846095	s__Mucilaginibacter achroorhodeus
s__Mucilaginibacter sp009754905	s__Mucilaginibacter ginkgonis
s__Mucilaginibacter sp009755275	s__Mucilaginibacter aquatilis
s__Mucilaginibacter sp009928685	s__Mucilaginibacter agri
s__Mucilaginibacter sp011089895	s__Mucilaginibacter inviolabilis
s__Mucilaginibacter sp013283875	s__Mucilaginibacter mali
s__Mucilaginibacter sp013287005	s__Mucilaginibacter sp013287375
s__Mucilaginibacter sp013289005	s__Mucilaginibacter sp013287375
s__Pedobacter sp003339865	s__Pedobacter chinensis
s__Pedobacter sp004331645	s__Pedobacter frigiditerrae
s__Pedobacter sp004331675	s__Pedobacter frigidisoli
s__Pedobacter sp004331685	s__Pedobacter hiemivivus
s__Pedobacter sp004331695	s__Pedobacter psychroterrae
s__Pedobacter sp004331735	s__Pedobacter psychrodurus
s__Pedobacter sp005116445	s__Pedobacter frigoris
s__Pedobacter sp005116475	s__Pedobacter cryotolerans
s__Pedobacter sp005116505	s__Pedobacter polaris
s__Pedobacter sp013266735	s__Pedobacter foliorum
s__Pedobacter sp014172375	s__Pedobacter planticolens
s__Pedobacter sp014172405	s__Pedobacter gandavensis
s__Pedobacter sp014306625	s__Pedobacter fastidiosus
s__Pedobacter sp900564155	s__Pedobacter schmidteae
s__Pedobacter sp903166585	s__Pedobacter ghigonis
s__Pelobium glucosidilyticum_A	s__Pelobium aquae
s__Pelobium sp005116455	s__Pelobium cryophilus
s__Pelobium sp009674685	s__Pelobium puniceum
s__Sphingobacterium kitahiroshimense	s__Sphingobacterium sp012030425
s__Sphingobacterium sp002429765	s__Sphingobacterium sp002386525
s__Sphingobacterium sp002472835	s__Sphingobacterium prati
s__Sphingobacterium sp003071065	s__Sphingobacterium athyrii
s__Sphingobacterium sp003076635	s__Sphingobacterium corticibacter
s__Sphingobacterium sp004208525	s__Sphingobacterium corticibacterium
s__Sphingobacterium sp006476045	s__Sphingobacterium lumbrici
s__Sphingobacterium sp008180195	s__Sphingobacterium phlebotomi
s__Sphingobacterium sp009733535	s__Sphingobacterium endophyticum
s__Sphingobacterium sp011043515	s__Sphingobacterium litopenaei
s__Sphingobacterium sp011316935	s__Sphingobacterium chungjuense
s__Chlorobium sp011601315	s__Chlorobium masyuteum
s__Chlorobium sp903895485	s__Chlorobium sp903840935
s__Prosthecochloris sp003344365	s__Prosthecochloris ethylica
s__Ignavibacterium sp002050295	s__IGN3 sp002050295
s__Ignavibacterium sp003538625	s__IGN3 sp003538625
s__Ignavibacterium sp900696555	s__IGN3 sp900696555
g__BJGZ01	g__UBA961
s__BJGZ01 sp014191195	s__UBA961 sp014191195
g__CAIUMP01	g__PALSA-1295
s__CAIUMP01 sp903900335	s__PALSA-1295 sp903900335
s__Kryptonium tengchongense_A	s__Kryptonium tengchongense
s__Kryptonium tengchongense_B	s__Kryptonium tengchongense
s__Kryptonium tengchongense_C	s__Kryptonium tengchongense
s__Kryptonium thompsoni	s__Kryptonium thompsonii
g__YR4-1	g__Halalkalibaculum
s__YR4-1 sp011059145	s__Halalkalibaculum roseum
f__PXAI01	f__Cyclonatronaceae
f__SKNL01	f__Natronogracilivirgulaceae
g__PWEI01	g__Natronogracilivirgula
s__PWEI01 sp003553465	s__Natronogracilivirgula saccharolytica
g__ISCAR-4553	g__Rhodocaloribacter
s__ISCAR-4553 sp011682235	s__Rhodocaloribacter litoris
g__MEBICO9517	g__Roseithermus
s__MEBICO9517 sp003285105	s__Roseithermus sacchariphilus
s__Rhodothermus sp002898335	s__Rhodothermus bifroesti
g__Salinivenus	g__Salinibacter
s__Salinivenus iranica	s__Salinibacter iranicus
s__Salinivenus lutea	s__Salinibacter luteus
s__Salinivenus sp002954405	s__Salinibacter sp002954405
s__Salinivenus sp003022435	s__Salinibacter sp003022435
s__Salinivenus sp003023365	s__Salinibacter sp003023365
g__Fen-1268	g__UBA9647
s__Fen-1268 sp003170475	s__UBA9647 sp003170475
s__Fen-1268 sp007280275	s__UBA9647 sp007280275
g__SB10	g__SpSt-333
s__SB10 sp008933835	s__SpSt-333 sp008933835
g__DB6-IX	g__Halobacteriovorax_A
s__DB6-IX sp000443995	s__Halobacteriovorax_A sp000443995
s__DB6-IX sp000447775	s__Halobacteriovorax_A sp000447775
